"latitude;""longitude"";""altitude"";""accuracy"";""time"""
48.81121270075116;2.3841758263391872;58;35;1415262788000
48.81147501149733;2.384383284565941;51;25;1415262804000
48.81191508197061;2.3853932113827176;85;25;1415262855000
48.81225624186727;2.3865015449296205;99;15;1415262906000
48.81243794384319;2.3868354678273875;89;10;1415262926000
48.81276704108178;2.387489296597385;94;10;1415262961000
48.81292958291009;2.387834826761983;86;15;1415262983000
48.81342900826847;2.3888736760295015;93;10;1415263036000
48.813577755412354;2.3892319314772235;92;10;1415263054000
48.81375685744313;2.3895424297520527;77;25;1415263070000
48.813929424971995;2.3898662115257348;85;10;1415263086000
48.81407338639222;2.3902213230041096;100;10;1415263107000
48.81440222050676;2.3908822578763957;88;10;1415263139000
48.81448060323115;2.3913894610282025;93;40;1415263176000
48.81451192461612;2.3922704584301306;87;15;1415263224000
48.81460554347133;2.3930909128510702;90;10;1415263260000
48.81449964257766;2.3934848755146576;84;10;1415263275000
48.81427114405714;2.3937333389735036;85;10;1415263303000
48.813728671885634;2.3934930846866003;105;5;1415263338000
